timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773669618986,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618988,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618988,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618990,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618989,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618989,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618991,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618993,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618993,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618995,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618994,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618994,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669618996,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669618999,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669618999,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669619000,4,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669618999,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669618999,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669619001,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669619004,6,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669619004,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669619006,4,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669619005,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669619005,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669619006,4,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669619010,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669619010,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669619011,4,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669619010,6,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669619010,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669619012,4,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669619015,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669619015,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669619017,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669619016,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669619016,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669619018,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669619021,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,1,0,0
1773669619021,1,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,1,0,0
1773669619022,4,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669619021,6,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669619021,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669619023,4,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,4,0,0
1773669619026,5,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,2,2,http://127.0.0.1:8000/file/,2,0,0
1773669619026,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,2,2,http://127.0.0.1:8000/file,2,0,0
1773669619028,3,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,2,2,http://127.0.0.1:8000/file/,3,0,0
1773669619027,5,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619027,2,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619029,3,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619032,8,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
1773669619032,2,后端请求压测-0,307,Temporary Redirect,线程组 1-2,,true,,147,171,3,3,http://127.0.0.1:8000/file,2,0,0
1773669619034,6,后端请求压测-1,200,OK,线程组 1-2,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619033,8,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,1,0,0
1773669619033,1,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,1,0,0
1773669619035,6,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,6,0,0
1773669619033,10,后端请求压测,200,OK,线程组 1-3,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619033,3,后端请求压测-0,307,Temporary Redirect,线程组 1-3,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619036,7,后端请求压测-1,200,OK,线程组 1-3,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,7,0,0
1773669619041,8,后端请求压测,200,OK,线程组 1-1,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,3,0,0
1773669619041,3,后端请求压测-0,307,Temporary Redirect,线程组 1-1,,true,,147,171,3,3,http://127.0.0.1:8000/file,3,0,0
1773669619044,5,后端请求压测-1,200,OK,线程组 1-1,text,true,,361,172,3,3,http://127.0.0.1:8000/file/,5,0,0
1773669619040,10,后端请求压测,200,OK,线程组 1-2,text,true,,508,343,3,3,http://127.0.0.1:8000/file/,2,0,0
